store_id,uptime_last_hour(in minutes),uptime_last_day(in hours),uptime_last_week(in hours),downtime_last_hour(in minutes),downtime_last_day(in hours),downtime_last_week(in hours)
1678415024862242015,0,0,0,0,0,0
9111087628624425255,0,0,0,60,15,53
6204284763418530336,0,0,0,0,0,0
3881760078520801429,0,0,0,0,0,0
7292116609046500092,0,0,0,0,0,0
4652595129999264905,0,0,0,0,0,0
4490168262699716549,0,0,0,0,0,0
7250561679095390438,0,0,0,0,0,0
27099145190781701,0,0,0,0,0,0
7700426430210091660,0,0,0,0,0,0
7689815792422819661,0,0,0,0,0,0
534942062508143963,0,0,0,0,0,0
4186055994645210040,0,0,0,0,0,0
761150016862176214,0,0,0,0,0,0
9007766313027524324,0,0,0,0,0,0
7131983716943940560,0,0,0,0,0,0
2418585462528908688,0,0,0,0,0,0
2680489839325406534,0,0,0,0,0,0
2921770204752359016,0,0,0,0,0,0
4714225106250340108,0,0,0,0,0,0
8445695079583663910,0,0,0,0,0,0
8238018223692779431,0,0,0,60,17,59
2217565331202925858,0,0,0,0,0,0
8445372164064960268,0,0,0,0,0,0
8316894844897055929,0,0,0,0,0,0
3676139268965286790,0,0,0,0,0,0
4301772298177454840,0,0,0,0,0,0
8281805787549037440,0,0,0,0,0,0
8018186541496678058,0,0,0,0,0,0
4382118344072425968,0,0,0,0,0,0
6833286636551589412,0,0,0,0,0,0
2599611321049050132,0,0,0,0,0,0
5172683340926528202,60,25,91,0,0,0
2444571783856717430,0,0,0,0,0,0
464344448013588853,0,0,0,0,0,0
5531489951592523305,0,0,0,0,0,0
7717660522305873406,0,0,0,60,10,50
8442155930538555912,0,0,0,0,0,0
1406152021548527918,0,0,0,0,0,0
2743917683024367670,0,0,0,0,0,0
1263313221864352798,0,0,0,0,0,0
6033078927093216807,0,0,0,0,0,0
5324764130529948850,0,0,0,0,0,0
5963244290990414105,0,0,0,0,0,0
60457724125785585,0,0,0,0,0,0
2485499600567598550,0,0,0,0,0,0
7079274467824786529,0,0,0,0,0,0
1759100766811847016,0,0,0,0,0,0
5953482702228811540,0,0,0,0,0,0
7782135406639936057,0,0,0,0,0,0
6561703302272808517,0,0,0,0,0,0
2716610122072123243,0,0,0,0,0,0
5347190332832093080,0,0,0,0,0,0
8358338731902291786,0,0,0,0,0,0
7494741768470986869,0,0,0,0,0,0
5871369041881192916,0,0,0,0,0,0
4093637869733340731,0,0,0,0,0,0
4944536771765996026,0,0,0,0,0,0
5638448267600207795,0,0,0,0,0,0
6077660293503601866,0,0,0,0,0,0
158406589678859173,0,0,0,0,0,0
7614824149049759851,60,61,236,0,0,0
4980781886232290796,60,60,234,0,0,0
148795032015503980,0,0,0,0,0,0
7048905833395581738,0,0,0,0,0,0
3520543761789396773,0,0,0,0,0,0
7700782639388559644,0,0,0,0,0,0
8032203943642240039,60,61,237,0,0,0
3511697439746388335,0,0,0,0,0,0
541109969542481625,0,0,0,0,0,0
2243645196147922938,0,0,0,0,0,0
8138753161225770962,60,25,84,0,0,6
4564476575467126467,0,0,0,0,0,0
2745405131043922955,0,0,0,0,0,0
367590061114712815,0,0,0,0,0,0
4392262532304212457,0,0,0,0,0,0
8204802052972909326,0,0,0,0,0,0
8260425251717833965,0,0,0,0,0,0
2723370672116413902,0,0,0,0,0,0
4328591465187020322,0,0,0,0,0,0
5013320822136552165,0,0,0,0,0,0
7315424696798227151,0,0,0,0,0,0
84556309993044773,0,0,0,0,0,0
5501223155082294021,0,0,0,0,0,0
7082578511700830448,0,0,0,0,0,0
3735062644644951598,0,0,0,0,0,0
6885055584095593568,60,61,236,0,0,0
2739506591976043860,0,0,0,0,0,0
7570269368745353854,60,61,194,0,0,0
3880151045864708269,0,0,0,0,0,0
3904969617592740705,0,0,0,0,0,0
6293447473718103019,0,0,0,0,0,0
9093184199664355954,0,0,0,0,0,0
3639357247132139641,0,0,0,0,0,0
4452511061815625182,0,0,0,0,0,0
4302876854415357898,0,0,0,0,0,0
9187547007090535526,0,0,0,0,0,0
6102129618872858606,0,0,0,0,0,0
6828664592648566966,60,60,167,0,0,28
4294796976390641784,60,17,46,0,0,0
2799412755942795518,0,0,0,0,0,0
5228523973235102150,60,60,189,0,0,0
7787233413436356353,0,0,0,0,0,0
8767068586059881204,0,0,0,0,0,0
6047205650421415000,0,0,0,0,0,0
1653546505509885456,0,0,0,0,0,0
2435196420942917349,0,0,0,0,0,0
2357757371120531929,0,0,0,0,0,0
404347378606512385,60,59,138,0,0,45
7920342993186169703,0,0,0,0,0,0
1749934803604450894,0,0,0,0,0,0
4683660238197535839,0,0,0,0,0,0
590843890890025127,0,0,0,0,0,0
8518420877315551053,0,0,0,0,0,0
8174582901236810236,0,0,0,0,0,0
1247679670163222814,0,0,0,0,0,0
2093459406570130080,0,0,0,0,0,0
6552433352624117779,0,0,0,0,0,0
5128069222245972936,0,0,0,0,0,0
5617147641233795296,0,0,0,0,0,0
2328922577549224385,60,61,194,0,0,0
8902299702965892833,60,60,228,0,0,0
